titulo,link,descricao
Contatos SEDUC - SEDUC-PI,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbWg5WXhzQ2RRbkFzYjhHMndLSE5scHF6ZFFNYldncXFPR1NnRGZXYUhfWF81SWRuYWJaaEVjdmJKN1hOaGEwa1lYM1FTeXEtVTdOa1MxRGZlQThwSGtMVkNvUzFEX0hNTWpTdWFUaUdMTjRxYzZxNjAtUXAxR3N2eUxRQ2N1M3NEQUN3aEppWnJxX2ZWN1Fhc0JtcjEtanBSN1Etd3RlN2xKNGxaWWRoTk5tYjl5Mi1XbmFYT1d4UUx2UQ?oc=5,Contatos SEDUC&nbsp;&nbsp;SEDUC-PI
Governador Rafael Fonteles autoriza cursos superiores em inteligência artificial na PIT – pi.gov - pi.gov.br,https://news.google.com/rss/articles/CBMirwFBVV95cUxOMTJOcnU3ZkowUGRtQTVJcnFwTXU2aWN6SnB2b3k3bEVYSkl3dnRiOXpQWFBibjFXVG5NVC1aTzl4ajhnT0NRUUZsSkR4Q1d3VF9IMC1ZR2tlYm9LWWloR2dsS3BqVTJMdmJKS0ZEQndJSGc5SXpiMm9mZVM0SW5XZVh6elRsZFBhbG83Tk1neWU1ZWEza2VLWWdhT0FPTURqbVJvNG1OaXRMZzJWdkNZ?oc=5,Governador Rafael Fonteles autoriza cursos superiores em inteligência artificial na PIT – pi.gov&nbsp;&nbsp;pi.gov.br
MCTI e governo do Piauí firmam parceria para avançar em projetos de IA - Agência Gov,https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5,MCTI e governo do Piauí firmam parceria para avançar em projetos de IA&nbsp;&nbsp;Agência Gov
MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação - Ministério Público do Estado do Piauí,https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5,MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação&nbsp;&nbsp;Ministério Público do Estado do Piauí
Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16) - pi.gov.br,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5,Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16)&nbsp;&nbsp;pi.gov.br
Educação pública do Piauí vira referência com salto digital e uso de inteligência artificial - pi.gov.br,https://news.google.com/rss/articles/CBMitgFBVV95cUxNcTlvY3p3R3NEOFRYaGQ1TE9zdWhya2x3RzhQdG9yWnV4RmdZVkxlQmphWWhIaDBkUkRrdzJqek1JWmZ3U3hJc2Rzc24tS0pSQzQzSFBfNE9xX2pCRzBELTdIbnRWWWZrRkJOY0NjYzFidl9PWkhqeTZFZVFUeGNqcHN4RE9tWm50WlZZdnBrMkN2dXEzaUp1a0VCRXlBTGY5UHZnRlMxTGFaWWY4d2F0WEI3cTMzQQ?oc=5,Educação pública do Piauí vira referência com salto digital e uso de inteligência artificial&nbsp;&nbsp;pi.gov.br
Representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiygFBVV95cUxOS09yR3NnQml0SmkzaldqSk44T1piZUJqTzBkaDhXRGdtLWVueXFvODd6Rm8tUUpzcjJCeWdnbkpaaF9WeW5OemhkUmxXZnB6YTREVkFYTE9CRnhXcWVKX1ROM2t5Q1hrQzlocGN4LXFRaXJ2VERxUFBGaVRSeUNhOTZhR0RoMVdEREowdHExaVM0UnZXX2FMWWZ6UWp2S2pJendWR1F2Vy1qbHNSdVF0RmFvczdadTQ2SlMzcDhPVWV6TWMyMzBjYlZ3?oc=5,Representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no Piauí&nbsp;&nbsp;pi.gov.br
"Piauí anuncia lançamento do SoberanIA, primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado - pi.gov.br",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQYnlpZ3JoNWh4WExDNkdRRnRnUmlUSjVXYnczemc2RXotUUtENjRIMEpFR29DbW9fMFZxa2F2MlNrMDRSWjhPR0RvOUhhaEM1S2M2Ym9MaG5qcHRHTkxZeFhscDhPc0dLcHVxckhpbzJkS2s5M2FZWS1IVHMzWHVMb0lkLWNQalJxTU1lU2g0aDVtR21GRzE0cFhCaklLRVBWUGJ0cmtITlpKc0lBM0dHR3BwS0wxcVN5cVZQcmRQWnhWMnIyRTg1bk9fYW5iZTFfZjhMckU4TlRpRFMzNUtJNQ?oc=5,"Piauí anuncia lançamento do SoberanIA, primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado&nbsp;&nbsp;pi.gov.br"
Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech - pi.gov.br,https://news.google.com/rss/articles/CBMinAFBVV95cUxQTC0xSDhIOG1yVHIwWlhaRlBDRUlVbE03OXM1Vjh1UmJJcjhJMFNKa0ctT0JSdEJ6aU04NXZfUFZyejI3MkpyYzRVcWNWRTF6ZncxekpMSEJhOUJWZVJtZ2ctOHpWcDIweXNaSGh3X2VCYXA2VWQwTUtXUEdYaTZqRFJiVkNFT0g2NmxRblZtYnMxMUZmNXdUZmRNYWg?oc=5,Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech&nbsp;&nbsp;pi.gov.br
Piauí terá uma das maiores delegações do país na final da Olimpíada Nacional de Inteligência Artificial - pi.gov.br,https://news.google.com/rss/articles/CBMixAFBVV95cUxPdnZxdlhEbDhMcDVCVGlCM04yV2NUNW9nMl8zejhrcUpxNzk3aU15dkk5TGZCdF9hVXhDd0YzTGZXQm1mVnJWR1p6MmdpUnRuMmpPa1l1MHF1dXlJM2E1WDNFMjRYMUtUWndyQVJqekxvbHk2RUNGc3l0cnRPT1dBWHBkT0Y1YWI3cVZva1l0NGNpOUkweFowVGZjUFp5Ulp6d0ZZYmpncXNwM0tTSTFKclRZYXA4RW9tcF9iejNsT0YxT2V1?oc=5,Piauí terá uma das maiores delegações do país na final da Olimpíada Nacional de Inteligência Artificial&nbsp;&nbsp;pi.gov.br
